A319;35,8;35,8;jet
A320;35,8;35,8;jet
A321;35,8;35,8;jet
A330;60,3;60,3;jet
A380;80;80;jet
ATR 42;25;25;turboprop
ATR 72;27;27;turboprop
Avro RJ70 / RJ85 / RJ100;26,34;26,34;jet
Boeing 737;34,32;;jet
Boeing 737-500;28,88;28,88;jet
Boeing 737-700;34,32;34,32;jet
Boeing 737-800;34,32;34,32;jet
Boeing 737-900;34,32;34,32;jet
Boeing 777-200 / 200ER;60,93;60,93;jet
Bombardier CS300;35,1;35,1;jet
Bombardier RJ1000;26,2;26,2;jet
Bombardier RJ700;23,2;23,2;jet
Bombardier RJ900;24,9;24,9;jet
Bombardier DHC-8;28,4;28,4;turboprop
Embraer 175;26;26;jet
Embraer 190;29;29;jet
Embraer 195;29;29;jet
Fokker 100;28;28;jet
Sukhoi Superjet 100-95;27,8;27,8;jet
